	x
discoversl_mutex_amp	1.38861955536436
discover_mutex	1.03966544153623
mutex_alt	1.381683071127
RNAi_avg	2.22407414894317
RNAi_cor_pvalue	1.01167699647831
RNAi_cor_stat	1.0130704263124
RNAi_dep_pvalue	1.10923660651518
RNAi_dep_stat	4.91739457908676
CRISPR_avg	2.24794234675442
CRISPR_cor_pvalue	1.00756492163421
CRISPR_cor_stat	1.00698808142269
CRISPR_dep_pvalue	1.14135177603788
CRISPR_dep_stat	4.95359692851197
gtex_corr	1.33400471533584
gtex_corr.pvalue	1.07189491556547
tumour_corr	1.17033314924704
tumour_corr.pvalue	1.04852521693733
normal_corr	1.28983176068664
normal_corr.pvalue	1.43006675097675
diff_exp_logFC	1.02395492615583
diff_exp_pvalue	1.07221847162291
pathway_coparticipation	1.01827998345806
logrank_pvals	1.34733785107919
